Title,Directed by,Starring,Lead,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
Geostorm,Dean Devlin,"['Gerard Butler', 'Jim Sturgess', 'Abbie Cornish', 'Zazie Beetz', 'Alexandra Maria Lara', 'Daniel Wu', 'Eugenio Derbez', 'Amr Waked', 'Adepero Oduye', 'Robert Sheehan', 'Richard Schiff', 'Ed Harris', 'Andy García']",Gerard Butler,2017-10-20,10.0,109.0,United States,English,120000000.0,221600000.0,13707376.0,PG-13
Ayla: The Daughter of War,Can Ulkay,"['Çetin Tekindor', 'İsmail Hacıoğlu', 'Kim Seol', 'Ali Atay', 'Murat Yıldırım']",Çetin Tekindor,2017-10-27,10.0,124.0,,,,16200000.0,,
My Teacher,Takahiro Miki,"['Toma Ikuta', 'Suzu Hirose']",Toma Ikuta,2017-10-28,10.0,113.0,Japan,Japanese,,,,
Justice League,Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Gal Gadot', 'Ezra Miller', 'Jason Momoa', 'Ray Fisher', 'Jeremy Irons', 'Diane Lane', 'Connie Nielsen', 'J. K. Simmons']",Ben Affleck,2017-11-13,11.0,120.0,United States,English,300000000.0,657900000.0,93842239.0,PG-13
In the Fade,Fatih Akin,Diane Kruger,D,2017-05-26,5.0,106.0,,German,,5000000.0,10455.0,R
The Disaster Artist,James Franco,"['James Franco', 'Dave Franco', 'Seth Rogen', 'Alison Brie', 'Ari Graynor', 'Josh Hutcherson', 'Jacki Weaver']",James Franco,2017-03-12,3.0,103.0,United States,English,10000000.0,29800000.0,1211345.0,R
Forget About Nick,Margarethe von Trotta,"['Ingrid Bolsø Berdal', 'Katja Riemann', 'Haluk Bilginer']",Ingrid Bolsø Berdal,2017-09-29,9.0,110.0,Germany,,,,,
Father Figures,Lawrence Sher,"['Owen Wilson', 'Ed Helms', 'J. K. Simmons', 'Katt Williams', 'Terry Bradshaw', 'Ving Rhames', 'Harry Shearer', 'June Squibb', 'Christopher Walken', 'Glenn Close']",Owen Wilson,2017-12-13,12.0,113.0,United States,English,25000000.0,25600000.0,3287451.0,R
Naples in Veils,Ferzan Özpetek,"['Giovanna Mezzogiorno', 'Alessandro Borghi', 'Anna Bonaiuto', 'Peppe Barra', 'Luisa Ranieri', 'Maria Pia Calzone', 'Lina Sastri', 'Isabella Ferrari', 'Loredana Cannata']",Giovanna Mezzogiorno,2017-12-28,12.0,113.0,Italy,Italian,,7200000.0,,
Paddington 2,Paul King,"['Hugh Bonneville', 'Sally Hawkins', 'Brendan Gleeson', 'Julie Walters', 'Jim Broadbent', 'Peter Capaldi', 'Hugh Grant', 'Ben Whishaw']",Hugh Bonneville,2017-11-05,11.0,104.0,,English,40000000.0,228000000.0,11001961.0,PG
12 Strong,Nicolai Fuglsig,"['Chris Hemsworth', 'Michael Shannon', 'Michael Peña', 'Trevante Rhodes']",Chris Hemsworth,2018-01-16,1.0,129.0,United States,English,35000000.0,71100000.0,15815025.0,R
The 15:17 to Paris,Clint Eastwood,"['Anthony Sadler', 'Alek Skarlatos', 'Spencer Stone', 'Judy Greer', 'Jenna Fischer']",Anthony Sadler,2018-02-09,2.0,94.0,United States,English,30000000.0,57100000.0,12554286.0,PG-13
Game Night,"['John Francis Daley', 'Jonathan Goldstein']","['Jason Bateman', 'Rachel McAdams', 'Billy Magnussen', 'Sharon Horgan', 'Lamorne Morris', 'Kylie Bunbury', 'Jesse Plemons', 'Michael C. Hall', 'Kyle Chandler']",Jason Bateman,2018-02-23,2.0,100.0,United States,English,37000000.0,117700000.0,17005332.0,R
Tomb Raider,Roar Uthaug,"['Alicia Vikander', 'Dominic West', 'Walton Goggins', 'Daniel Wu', 'Kristin Scott Thomas']",Alicia Vikander,2018-03-02,3.0,118.0,,English,90000000.0,274700000.0,47735743.0,PG-13
Ready Player One,Steven Spielberg,"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn', 'T.J. Miller', 'Simon Pegg', 'Mark Rylance']",Tye Sheridan,2018-03-11,3.0,140.0,United States,English,155000000.0,582900000.0,41764050.0,PG-13
Rampage,Brad Peyton,"['Dwayne Johnson', 'Naomie Harris', 'Malin Åkerman', 'Jake Lacy', 'Jeffrey Dean Morgan']",Dwayne Johnson,2018-04-04,4.0,107.0,United States,English,120000000.0,428000000.0,322500.0,R
Life of the Party,Ben Falcone,"['Melissa McCarthy', 'Gillian Jacobs', 'Maya Rudolph', 'Julie Bowen', 'Matt Walsh', 'Molly Gordon', 'Stephen Root', 'Jacki Weaver']",Melissa McCarthy,2018-05-11,5.0,105.0,United States,English,30000000.0,65900000.00000001,17886075.0,PG-13
Rainbow Days,Ken Iizuka,"['Reo Sano', 'Taishi Nakagawa', 'Mahiro Takasugi', 'Ryusei Yokohama', 'Ai Yoshikawa', 'Yuri Tsunematsu', 'Mayu Hotta', 'Nozomi Bando', 'Yūki Yamada']",Reo Sano,2018-07-06,7.0,110.0,Japan,Japanese,,,,
Ocean's 8,Gary Ross,"['Sandra Bullock', 'Cate Blanchett', 'Anne Hathaway', 'Mindy Kaling', 'Sarah Paulson', 'Awkwafina', 'Rihanna', 'Helena Bonham Carter']",Sandra Bullock,2018-06-05,6.0,110.0,United States,English,70000000.0,297700000.0,41607378.0,PG-13
Tag,Jeff Tomsic,"['Ed Helms', 'Jake Johnson', 'Annabelle Wallis', 'Hannibal Buress', 'Isla Fisher', 'Rashida Jones', 'Leslie Bibb', 'Jon Hamm', 'Jeremy Renner']",Ed Helms,2018-06-15,6.0,101.0,United States,English,28000000.0,78100000.0,14947396.0,R
Bleach,Shinsuke Sato,"['Sota Fukushi', 'Hana Sugisaki', 'Ryo Yoshizawa', 'Erina Mano', 'Yu Koyanagi', 'Taichi Saotome', 'Miyavi', 'Seiichi Tanabe', 'Masami Nagasawa', 'Yōsuke Eguchi']",Sota Fukushi,2018-07-20,7.0,,Japan,,,,,
Teen Titans Go! To the Movies,"['Peter Rida Michail', 'Aaron Horvath']","['Greg Cipes', 'Scott Menville', 'Khary Payton', 'Tara Strong', 'Hynden Walch', 'Will Arnett', 'Kristen Bell']",Greg Cipes,2018-07-22,7.0,84.0,United States,English,10000000.0,52100000.0,10411189.0,PG
The Meg,Jon Turteltaub,"['Jason Statham', 'Li Bingbing', 'Rainn Wilson', 'Ruby Rose', 'Winston Chao', 'Cliff Curtis']",Jason Statham,2018-08-10,8.0,113.0,,English,130000000.0,530200000.00000006,45402195.0,PG-13
Crazy Rich Asians,Jon M. Chu,"['Constance Wu', 'Henry Golding', 'Gemma Chan', 'Lisa Lu', 'Awkwafina', 'Ken Jeong', 'Michelle Yeoh']",Constance Wu,2018-08-07,8.0,121.0,United States,English,30000000.0,238500000.0,26510140.0,PG-13
The Nun,Corin Hardy,"['Demián Bichir', 'Taissa Farmiga']",Demián Bichir,2018-09-04,9.0,96.0,United States,English,22000000.0,365600000.0,53807379.0,R
The Accused,Gonzalo Tobal,"['Lali Espósito', 'Gael García Bernal', 'Leonardo Sbaraglia', 'Inés Estévez', 'Daniel Fanego', 'Gerardo Romano']",Lali Espósito,2018-09-04,9.0,114.0,,Spanish,,1600000.0,4316369.0,
Real Girl,Tsutomu Hanabusa,"['Ayami Nakajo', 'Hayato Sano', 'Hiroya Shimizu', 'Yuri Tsunematsu', 'Moka Kamishiraishi', 'Yutaro']",Ayami Nakajo,2018-09-14,9.0,115.0,Japan,Japanese,,,90418.0,PG-13
Smallfoot,"['Karey Kirkpatrick', 'Jason Reisig (co-director)']","['Channing Tatum', 'James Corden', 'Zendaya Coleman', 'Common', 'LeBron James', 'Danny DeVito', 'Gina Rodriguez', 'Yara Shahidi', 'Ely Henry', 'Jimmy Tatro']",Channing Tatum,2018-09-28,9.0,96.0,United States,English,80000000.0,214000000.0,23045635.0,PG
The Realm,Rodrigo Sorogoyen,Antonio de la Torre,A,2018-09-07,9.0,130.0,Spain,Spanish,,,,
A Star Is Born,Bradley Cooper,"['Bradley Cooper', 'Lady Gaga', 'Andrew Dice Clay', 'Dave Chappelle', 'Sam Elliott']",Bradley Cooper,2018-08-31,8.0,136.0,United States,English,36000000.0,436200000.0,42908051.0,R
Fantastic Beasts: The Crimes of Grindelwald,David Yates,"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler', 'Alison Sudol', 'Ezra Miller', 'Zoë Kravitz', 'Callum Turner', 'Claudia Kim', 'William Nadylam', 'Kevin Guthrie', 'Jude Law', 'Johnny Depp']",Eddie Redmayne,2018-11-08,11.0,134.0,,English,200000000.0,654900000.0,62163104.0,PG-13
Creed II,Steven Caple Jr.,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Wood Harris', 'Phylicia Rashad', 'Dolph Lundgren']",Michael B. Jordan,2018-11-14,11.0,130.0,United States,English,50000000.0,214100000.0,35574710.0,PG-13
Mowgli: Legend of the Jungle,Andy Serkis,"['Christian Bale', 'Cate Blanchett', 'Benedict Cumberbatch', 'Naomie Harris', 'Andy Serkis', 'Matthew Rhys', 'Freida Pinto', 'Rohan Chand']",Christian Bale,2018-11-25,11.0,104.0,,English,,,,PG-13
Head Full of Honey,Til Schweiger,"['Nick Nolte', 'Matt Dillon', 'Emily Mortimer', 'Sophia Lane Nolte']",Nick Nolte,2018-10-27,10.0,,Germany,English,,,8715.0,PG-13
They Shall Not Grow Old,Peter Jackson,,,2018-10-16,10.0,99.0,,English,,20400000.0,,R
The Mule,Clint Eastwood,"['Clint Eastwood', 'Bradley Cooper', 'Laurence Fishburne', 'Michael Peña', 'Dianne Wiest', 'Andy García']",Clint Eastwood,2018-12-10,12.0,116.0,United States,English,50000000.0,174800000.0,17509431.0,R
Aquaman,James Wan,"['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson', 'Dolph Lundgren', 'Yahya Abdul-Mateen II', 'Nicole Kidman']",Jason Momoa,2018-11-26,11.0,143.0,United States,English,160000000.0,1148000000.0,67873522.0,PG-13
White Snake,"['Amp Wong', 'Zhao Ji']","['Zhang Zhe', 'Yang Tianxiang']",Zhang Zhe,2019-01-11,1.0,99.0,,Mandarin,,,2791.0,
The Lego Movie 2: The Second Part,Mike Mitchell,"['Chris Pratt', 'Elizabeth Banks', 'Will Arnett', 'Tiffany Haddish', 'Stephanie Beatriz', 'Charlie Day', 'Alison Brie', 'Nick Offerman', 'Maya Rudolph', 'Will Ferrell']",Chris Pratt,2019-02-07,2.0,107.0,,English,99000000.0,192300000.0,34115335.0,PG
Isn't It Romantic,Todd Strauss-Schulson,"['Rebel Wilson', 'Liam Hemsworth', 'Adam DeVine', 'Priyanka Chopra']",Rebel Wilson,2019-02-13,2.0,89.0,United States,English,31000000.0,48800000.0,14247758.0,PG-13
The Golden Glove,Fatih Akin,['Jonas Dassler'],Jonas Dassler,2019-02-09,2.0,110.0,,,,,2300.0,
Nancy Drew and the Hidden Staircase,Katt Shea,"['Sophia Lillis', 'Sam Trammell', 'Linda Lavin']",Sophia Lillis,2019-03-15,3.0,89.0,United States,English,17000000.0,946027.0,,PG
Shazam!,David F. Sandberg,"['Zachary Levi', 'Mark Strong', 'Asher Angel', 'Jack Dylan Grazer', 'Djimon Hounsou']",Zachary Levi,2019-03-15,3.0,132.0,United States,English,80000000.0,366000000.0,53505326.0,PG-13
The Curse of La Llorona,Michael Chaves,"['Linda Cardellini', 'Raymond Cruz', 'Patricia Velásquez']",Linda Cardellini,2019-03-15,3.0,93.0,United States,,9000000.0,123100000.0,26347631.0,R
The Wonderland,Keiichi Hara,"['Mayu Matsuoka', 'Anne Watanabe', 'Kumiko Aso']",Mayu Matsuoka,2019-04-26,4.0,115.0,Japan,Japanese,,,1320.0,
Pokémon Detective Pikachu,Rob Letterman,"['Ryan Reynolds', 'Justice Smith', 'Kathryn Newton', 'Suki Waterhouse', 'Omar Chaparro', 'Chris Geere', 'Ken Watanabe', 'Bill Nighy']",Ryan Reynolds,2019-05-03,5.0,104.0,,English,150000000.0,433000000.0,54365242.0,PG
The Sun Is Also a Star,Ry Russo-Young,"['Yara Shahidi', 'Charles Melton']",Yara Shahidi,2019-05-17,5.0,100.0,United States,English,9000000.0,6800000.0,2511530.0,PG-13
Godzilla: King of the Monsters,Michael Dougherty,"['Kyle Chandler', 'Vera Farmiga', 'Millie Bobby Brown', 'Bradley Whitford', 'Sally Hawkins', 'Charles Dance', 'Thomas Middleditch', 'Aisha Hinds', ""O'Shea Jackson Jr."", 'David Strathairn', 'Ken Watanabe', 'Zhang Ziyi']",Kyle Chandler,2019-05-13,5.0,131.0,United States,English,170000000.0,386600000.0,47776293.0,PG-13
Shaft,Tim Story,"['Samuel L. Jackson', 'Jessie T. Usher', 'Regina Hall', 'Alexandra Shipp', 'Richard Roundtree']",Samuel L. Jackson,2019-06-14,6.0,112.0,United States,English,30000000.0,21400000.0,8901419.0,R
Annabelle Comes Home,Gary Dauberman,"['Mckenna Grace', 'Madison Iseman', 'Katie Sarife', 'Vera Farmiga', 'Patrick Wilson']",Mckenna Grace,2019-06-26,6.0,106.0,United States,English,27000000.0,231300000.0,20269723.0,R
The Kitchen,Andrea Berloff,"['Melissa McCarthy', 'Tiffany Haddish', 'Elisabeth Moss', 'Domhnall Gleeson', 'James Badge Dale', ""Brian d'Arcy James"", 'Margo Martindale', 'Common', 'Bill Camp']",Melissa McCarthy,2019-08-09,8.0,103.0,United States,English,38000000.0,16000000.0,5527410.0,R
Blinded by the Light,Gurinder Chadha,"['Viveik Kalra', 'Kulvinder Ghir', 'Meera Ganatra', 'Nell Williams', 'Aaron Phagura', 'Dean-Charles Chapman']",Viveik Kalra,2019-01-27,1.0,117.0,United Kingdom,English,15000000.0,18100000.0,4333305.0,PG-13
The Informer,Andrea Di Stefano,"['Joel Kinnaman', 'Rosamund Pike', 'Common', 'Ana de Armas', 'Clive Owen']",Joel Kinnaman,2019-08-30,8.0,113.0,United Kingdom,English,,2900000.0,133475.0,R
It Chapter Two,Andy Muschietti,"['Jessica Chastain', 'James McAvoy', 'Bill Hader', 'Isaiah Mustafa', 'Jay Ryan', 'James Ransone', 'Andy Bean', 'Bill Skarsgård']",Jessica Chastain,2019-09-06,9.0,170.0,United States,English,79000000.0,473100000.0,91062152.0,R
The Goldfinch,John Crowley,"['Ansel Elgort', 'Oakes Fegley', 'Aneurin Barnard', 'Finn Wolfhard', 'Sarah Paulson', 'Luke Wilson', 'Jeffrey Wright', 'Nicole Kidman']",Ansel Elgort,2019-09-08,9.0,149.0,United States,English,44000000.0,9900000.0,2679027.0,R
The Battle of Jangsari,"['Kwak Kyung-taek', 'Kim Tae-hoon']","['Kim Myung-min', 'Megan Fox', 'Choi Min-ho']",Kim Myung-min,2019-09-25,9.0,103.0,South Korea,,,7800000.0,8552.0,
Joker,Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']",Joaquin Phoenix,2019-08-31,8.0,122.0,United States,English,55000000.0,1074000000.0,96202337.0,R
Motherless Brooklyn,Edward Norton,"['Edward Norton', 'Bruce Willis', 'Gugu Mbatha-Raw', 'Bobby Cannavale', 'Cherry Jones', 'Alec Baldwin', 'Willem Dafoe']",Edward Norton,2019-08-30,8.0,144.0,United States,English,26000000.0,18500000.0,3500454.0,R
Doctor Sleep,Mike Flanagan,"['Ewan McGregor', 'Rebecca Ferguson', 'Kyliegh Curran', 'Carl Lumbly', 'Zahn McClarnon', 'Emily Alyn Lind', 'Bruce Greenwood', 'Jocelin Donahue', 'Cliff Curtis']",Ewan McGregor,2019-10-21,10.0,152.0,United States,English,30000000.0,72300000.0,14114124.0,R
My Zoe,Julie Delpy,"['Julie Delpy', 'Richard Armitage', 'Daniel Brühl', 'Gemma Arterton', 'Saleh Bakri', 'Lindsay Duncan', 'Sophia Ally']",Julie Delpy,2019-09-07,9.0,102.0,,,,,33230.0,R
The Good Liar,Bill Condon,"['Helen Mirren', 'Ian McKellen', 'Russell Tovey', 'Jim Carter']",Helen Mirren,2019-11-08,11.0,109.0,,English,10000000.0,33900000.0,5605051.0,R
Richard Jewell,Clint Eastwood,"['Paul Walter Hauser', 'Kathy Bates', 'Jon Hamm', 'Olivia Wilde', 'Sam Rockwell']",Paul Walter Hauser,2019-11-20,11.0,129.0,United States,English,45000000.0,43700000.0,4705265.0,R
Just Mercy,Destin Daniel Cretton,"['Michael B. Jordan', 'Jamie Foxx', 'Rob Morgan', 'Tim Blake Nelson', 'Rafe Spall', 'Brie Larson']",Michael B. Jordan,2019-09-06,9.0,137.0,United States,English,25000000.0,50400000.0,107858.0,PG-13
When Hitler Stole Pink Rabbit,Caroline Link,"['Riva Krymalowski', 'Marinus Hohmann', 'Carla Juri', 'Oliver Masucci']",Riva Krymalowski,2019-12-25,12.0,119.0,,German,,,,
